Iteracao,x,f(x),Problema,Metodo
0,0.2,-0.07569643792193403,A,Subst_g1
1,0.16758001150890983,0.026978195054704113,A,Subst_g1
2,0.17880590623792353,-0.009440750046070034,A,Subst_g1
3,0.17483612478275887,0.003326400156695941,A,Subst_g1
4,0.17622977234983705,-0.0011692839950224743,A,Subst_g1
5,0.17573925189308567,0.0004113656514823649,A,Subst_g1
6,0.17591174388631803,-0.00014468013247137534,A,Subst_g1
7,0.17585106761841832,5.089024436266687e-05,A,Subst_g1
8,0.17587240888627917,-1.7899645680885534e-05,A,Subst_g1
9,0.1758649023661042,6.295929691702007e-06,A,Subst_g1
10,0.17586754265279889,-2.2144881322017085e-06,A,Subst_g1
11,0.17586661397378509,7.789104489175358e-07,A,Subst_g1
